windowDuration,timeSinceLastSensorEvent,prevDominantSensor1,prevDominantSensor2,lastSensorLocation,lastMotionLocation,complexity,activityChange,areaTransitions,numDistinctSensors,sensorCount-Bathroom,sensorCount-Bedroom,sensorCount-Chair,sensorCount-DiningRoom,sensorCount-Hall,sensorCount-Ignore,sensorCount-Kitchen,sensorCount-LivingRoom,sensorCount-Office,sensorCount-OutsideDoor,sensorCount-WorkArea,sensorElTime-Bathroom,sensorElTime-Bedroom,sensorElTime-Chair,sensorElTime-DiningRoom,sensorElTime-Hall,sensorElTime-Ignore,sensorElTime-Kitchen,sensorElTime-LivingRoom,sensorElTime-Office,sensorElTime-OutsideDoor,sensorElTime-WorkArea,labels
55.0,4.0,6.0,6.0,6.0,6.0,0.6500224216483541,0.4909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.460000000000001,28.89,0.0,0.0,0.0,0.0,447.858754,222.052919,86400.0,213.988109,86400.0,5.874895,0.0,216.917201,86400.0,86400.0,86400.0,2
45.0,1.0,6.0,6.0,6.0,6.0,0.6500224216483541,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83,28.52,0.0,0.0,0.0,0.0,1238.644218,1006.941765,86400.0,543.256529,86400.0,2.101579,0.0,335.566639,86400.0,427.944817,86400.0,2
3035.0,0.0,7.0,7.0,7.0,7.0,0.8366407419411673,0.3953871499176277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,25.250000000000007,0.0,0.0,0.0,13254.470173,7219.907633,86400.0,6366.62077,86400.0,193.666634,6387.691916,0.0,86400.0,7224.233412,86400.0,0
48.0,4.0,6.0,6.0,6.0,6.0,0.6500224216483541,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.990000000000001,28.360000000000003,0.0,0.0,0.0,0.0,396.66886,170.863025,86400.0,162.798215,86400.0,3.812281,0.0,165.727307,86400.0,86400.0,86400.0,2
42.0,1.0,6.0,6.0,6.0,6.0,0.3533593350214213,0.3809523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,32.17,0.0,0.0,0.0,0.0,418.551035,192.7452,86400.0,184.68039,86400.0,1.693963,0.0,187.609482,86400.0,86400.0,86400.0,2
86.0,11.0,6.0,6.0,6.0,6.0,0.6500224216483541,0.5581395348837209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.790000000000001,28.56,0.0,0.0,0.0,0.0,303.197919,300.316053,86400.0,34404.341021,86400.0,24.307969,0.0,291.383598,86400.0,42048.896181,86400.0,2
47.0,1.0,0.0,7.0,0.0,0.0,0.8366407419411673,0.5957446808510638,0.0,0.0,25.21,0.0,0.0,0.0,0.0,9.14,0.0,0.0,0.0,0.0,0.0,0.0,104.97857,86400.0,850.213517,86400.0,7.71733,852.588137,112.311339,86400.0,5772.938545,86400.0,1
1019.0,1.0,6.0,6.0,7.0,7.0,0.9967916319816366,0.3434739941118744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.77,0.0,18.58,0.0,0.0,0.0,10443.438301,8915.123324,86400.0,1020.397958,86400.0,280.765687,1022.317988,0.0,86400.0,9849.605896,86400.0,0
114.0,2.0,5.0,5.0,0.0,0.0,1.4854752972273344,0.6140350877192983,3.0,0.0,16.799999999999997,7.520000000000001,0.0,0.0,0.0,10.03,0.0,0.0,0.0,0.0,0.0,0.0,108.305224,86400.0,86400.0,86400.0,10.568279,86400.0,4377.408838,86400.0,86400.0,86400.0,1
242.0,1.0,7.0,6.0,1.0,1.0,1.2237284077901536,0.9545454545454546,4.0,0.0,1.01,2.03,0.0,0.0,0.0,10.55,0.0,20.760000000000005,0.0,0.0,0.0,1.265348,0.0,86400.0,1308.160682,86400.0,6.301246,1451.912577,3.260998,86400.0,9034.034158,86400.0,1
