windowDuration,timeSinceLastSensorEvent,prevDominantSensor1,prevDominantSensor2,lastSensorLocation,lastMotionLocation,complexity,activityChange,areaTransitions,numDistinctSensors,sensorCount-Bathroom,sensorCount-Bedroom,sensorCount-Chair,sensorCount-DiningRoom,sensorCount-Hall,sensorCount-Ignore,sensorCount-Kitchen,sensorCount-LivingRoom,sensorCount-Office,sensorCount-OutsideDoor,sensorCount-WorkArea,sensorElTime-Bathroom,sensorElTime-Bedroom,sensorElTime-Chair,sensorElTime-DiningRoom,sensorElTime-Hall,sensorElTime-Ignore,sensorElTime-Kitchen,sensorElTime-LivingRoom,sensorElTime-Office,sensorElTime-OutsideDoor,sensorElTime-WorkArea,activity
2400.0,6.0,5.0,7.0,5.0,-1.0,0.0,0.4945833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.35,0.0,0.0,0.0,0.0,0.0,7252.53522,24299.848446,5392.802635,86400.0,86400.0,0.0,13970.735457,3011.905193,86400.0,5458.977889,13953.407625,0
339.0,1.0,7.0,5.0,0.0,0.0,1.889246428509158,0.8997050147492626,5.0,0.0,4.06,0.0,6.750000000000001,0.0,0.0,9.6,0.0,13.94,0.0,0.0,0.0,0.0,6454.439743,30.353705,86400.0,86400.0,24.682094,7187.886713,22.212001,86400.0,2786.507957,7173.266412,2
159.0,2.0,6.0,6.0,5.0,6.0,0.6500224216483541,0.7672955974842768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.830000000000001,28.520000000000007,0.0,0.0,0.0,0.0,451.024149,20295.470308,432.970983,86400.0,86400.0,0.0,1.680765,429.174568,86400.0,8486.614643,392.64684,4
65.0,11.0,5.0,7.0,6.0,6.0,1.4294732983598406,0.4153846153846154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.770000000000003,15.550000000000002,0.0,0.0,0.0,5.030000000000001,10252.778251,36781.087338,5192.927331,86400.0,86400.0,10.511556,0.0,5185.647568,86400.0,5349.609989,59.957446,4
38.0,0.0,5.0,7.0,6.0,6.0,0.9729143147225048,0.4473684210526316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,20.53,0.0,0.0,0.0,1.2800000000000002,2623.706863,12866.38431,2567.206817,86400.0,86400.0,0.021964,0.0,2555.414139,86400.0,2820.752716,36.885918,1
46.0,7.0,5.0,5.0,0.0,0.0,2.121928094887362,0.4782608695652174,7.0,0.0,3.03,0.0,7.030000000000001,0.0,0.0,6.92,0.0,13.55,0.0,3.82,0.0,0.0,25938.202007,16.226294,86400.0,86400.0,12.969001,12157.350523,9.598417,86400.0,39.560094,11378.58828,2
237.0,11.0,6.0,5.0,0.0,0.0,1.258040253688799,0.8523206751054853,1.0,0.0,20.71,0.0,0.0,0.0,0.0,3.710000000000001,0.0,9.93,0.0,0.0,0.0,0.0,32741.801462,266.344533,86400.0,86400.0,178.116939,308.468232,178.094894,86400.0,13900.930905,296.039929,2
100.0,1.0,6.0,5.0,6.0,6.0,0.783776947484701,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.130000000000003,26.22,0.0,0.0,0.0,0.0,312.101605,11006.847515,281.417963,86400.0,86400.0,0.553634,0.0,277.454836,86400.0,3212.56047,255.331962,1
41.0,1.0,6.0,5.0,6.0,6.0,0.9182958340544896,0.6829268292682927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.65,22.700000000000003,0.0,0.0,0.0,0.0,5161.096814,30704.726512,5138.812534,86400.0,86400.0,1.870851,0.0,1213.896497,86400.0,11863.855955,96.645561,4
210.0,3.0,7.0,5.0,0.0,0.0,0.3533593350214213,0.4428571428571428,0.0,0.0,31.96,0.0,0.0,0.0,0.0,2.390000000000001,0.0,0.0,0.0,0.0,0.0,0.0,10722.070245,229.79183,86400.0,86400.0,112.880599,6351.526885,220.948398,86400.0,270.455259,6329.593555,2
